identifiers_isbn_10,identifiers_isbn_13,identifiers_openlibrary,links,url,number_of_pages,pagination,ebooks,subject_people,weight,subject_places,subject_times,key,cover_small,cover_medium,cover_large,by_statement,title,publish_date,table_of_contents,publish_places,subjects,authors,classifications_lc_classifications,excerpts,notes,subtitle,publishers,classifications,identifiers_librarything,identifiers_goodreads,identifiers_lccn,identifiers_oclc,cover,classifications_dewey_decimal_class,identifiers_amazon,identifiers_wikidata,identifiers_overdrive,identifiers_alibris_id,identifiers_google,identifiers_musicbrainz
0008264325,9780008264321,OL32251595M,,https://openlibrary.org/books/OL32251595M/Deadeye_Dick,192.0,,,,,,,/books/OL32251595M,https://covers.openlibrary.org/b/id/10881592-S.jpg,https://covers.openlibrary.org/b/id/10881592-M.jpg,https://covers.openlibrary.org/b/id/10881592-L.jpg,,Deadeye Dick,"Jul 11, 2019",,,American literature; American fiction (fictional works by one author),Kurt Vonnegut,PS3572.O5,,,,Fourth Estate,,,,,,,,,,,,,
,9780008264338,OL39478202M,,https://openlibrary.org/books/OL39478202M/Bluebeard,,,,,,California; New York,,/books/OL39478202M,https://covers.openlibrary.org/b/id/12881220-S.jpg,https://covers.openlibrary.org/b/id/12881220-M.jpg,https://covers.openlibrary.org/b/id/12881220-L.jpg,,Bluebeard,2019,,,"Fiction; Artists; Autobiography; Authorship; Abstract expressionism; Large type books; American fiction (fictional works by one author); Artists, fiction",Kurt Vonnegut,,"{'text': '“Never trust a survivor… until you find out what he did to stay alive.”', 'comment': ''}",,,Fourth Estate,,,,,,,,,,,,,
0030672252,9780030672255,OL32318340M,"{'title': 'NLA Trove work', 'url': 'http://trove.nla.gov.au/work/10590568'}",https://openlibrary.org/books/OL32318340M/Cat's_Cradle,233.0,,,,,,,/books/OL32318340M,https://covers.openlibrary.org/b/id/10941970-S.jpg,https://covers.openlibrary.org/b/id/10941970-M.jpg,https://covers.openlibrary.org/b/id/10941970-L.jpg,,Cat's Cradle,"May 05, 1963",,,"End of the world; Fiction; American Fantasy fiction; Classic Literature; Humor (Fiction); Science Fiction; Large type books; American fiction (fictional works by one author); Fiction, humorous; Fiction, science fiction, general; Fiction, humorous, general; American fiction; Translations into Spanish; Spanish imprints; Spanish fiction; Fin du monde; Romans, nouvelles; Satire; Fictional works [publication type]; End of the world--fiction; Ps3572.o5 c3 2010; 813 v947c 2010; Labor supply; Physicists; Discoveries in science; Physiciens; Découvertes scientifiques; Dwarfs; Dwarfs (Persons)",Kurt Vonnegut; Nickolay Popov,,"{'text': 'Call me Jonah.', 'comment': ''}",,,"Holt, Rinehart and Winston",,,,,,,,,,,,,
0060263199,,OL4406495M,,https://openlibrary.org/books/OL4406495M/Sun_moon_star,62.0,62 p. :,,Jesus Christ; Ivan Chermayeff,,,,/books/OL4406495M,,,,Kurt Vonnegut ; [ill. by] Ivan Chermayeff.,"Sun, moon, star",1980,,New York,"Jesus Christ in fiction; Juvenile fiction; Fiction; Nativity; Juvenile literature; Children's fiction; Jesus christ, fiction; Perception; Nativity of Jesus Christ",Kurt Vonnegut,PZ7.V939 Su 1980; PZ7.V939Su 1980; PS3572.O5 S8 1980,,,,Harper & Row,,815701,9603,79009612,6015561,,[Fic],,,,,,
006056492X,9780060564926,OL7278771M,,https://openlibrary.org/books/OL7278771M/Slaughterhouse_Five,,,,Billy Pilgrim,,Dresden; Germany,1939-1945,/books/OL7278771M,https://covers.openlibrary.org/b/id/29738-S.jpg,https://covers.openlibrary.org/b/id/29738-M.jpg,https://covers.openlibrary.org/b/id/29738-L.jpg,,Slaughterhouse Five,"November 4, 2003",,,"American science fiction; bombing of Dresden; Open Library staff picks; military fiction; war stories; World War II; World War, 1939-1945; literature and the war; war; free will and determinism; literary fiction; Fiction; Animals; Boats and boating; Juvenile fiction; Accelerated Reader; Domestic animals; American fiction (fictional works by one author); Fiction, general; Fiction, war & military; World war, 1939-1945, fiction; Classic Literature; Drama; Vonnegut, kurt, 1922-2007; American literature, history and criticism; Destruction and pillage; World War (1939-1945) fast (OCoLC)fst01180924; Roman américain; Literature; American literature; Literatură americană; Roman; Time travel; Voyages dans le temps; Romans, nouvelles; Science fiction",Kurt Vonnegut,,,,,Caedmon,,816613,978428,,53446148,,,,,,,,
0060564970,9780060564971,OL7278773M,,https://openlibrary.org/books/OL7278773M/Breakfast_of_Champions,,,,,,,,/books/OL7278773M,https://covers.openlibrary.org/b/id/29743-S.jpg,https://covers.openlibrary.org/b/id/29743-M.jpg,https://covers.openlibrary.org/b/id/29743-L.jpg,,Breakfast of Champions,"March 2, 2004",,,"Authorship; Science fiction; Fiction; Classic Literature; Drama; American fiction (fictional works by one author); Humorous stories; Satire; Kilgore Trout (Fictitious character); Sexuality; Mental illness; Fiction in English; Fiction, general; Sex",Kurt Vonnegut,,,,,Caedmon,,4335846,920919,,54755503,,,,,,,,
0060573775,9780060573775,OL7278992M,,https://openlibrary.org/books/OL7278992M/Slaughterhouse-Five_(or_The_Children's_Crusade_A_Duty_Dance_with_Death),1.0,,,Billy Pilgrim,,Dresden; Germany,1939-1945,/books/OL7278992M,https://covers.openlibrary.org/b/id/30261-S.jpg,https://covers.openlibrary.org/b/id/30261-M.jpg,https://covers.openlibrary.org/b/id/30261-L.jpg,,Slaughterhouse-Five (or The Children's Crusade: A Duty Dance with Death),"November 4, 2003",,,"American science fiction; bombing of Dresden; Open Library staff picks; military fiction; war stories; World War II; World War, 1939-1945; literature and the war; war; free will and determinism; literary fiction; Fiction; Animals; Boats and boating; Juvenile fiction; Accelerated Reader; Domestic animals; American fiction (fictional works by one author); Fiction, general; Fiction, war & military; World war, 1939-1945, fiction; Classic Literature; Drama; Vonnegut, kurt, 1922-2007; American literature, history and criticism; Destruction and pillage; World War (1939-1945) fast (OCoLC)fst01180924; Roman américain; Literature; American literature; Literatură americană; Roman; Time travel; Voyages dans le temps; Romans, nouvelles; Science fiction",Kurt Vonnegut,,,,,Caedmon,,816613,786269,,,,,,,,,,
0060586230,9780060586232,OL7279291M,,https://openlibrary.org/books/OL7279291M/Breakfast_of_Champions_CD,,,,,,,,/books/OL7279291M,https://covers.openlibrary.org/b/id/31047-S.jpg,https://covers.openlibrary.org/b/id/31047-M.jpg,https://covers.openlibrary.org/b/id/31047-L.jpg,,Breakfast of Champions CD,"March 2, 2004",,,,Kurt Vonnegut,,,,,Caedmon,,4335846,920923,,,,,,,,,,
0060898712,9780060898717,OL7283829M,,https://openlibrary.org/books/OL7283829M/Welcome_to_the_Monkey_House_CD,,,,,,,,/books/OL7283829M,https://covers.openlibrary.org/b/id/39575-S.jpg,https://covers.openlibrary.org/b/id/39575-M.jpg,https://covers.openlibrary.org/b/id/39575-L.jpg,,Welcome to the Monkey House CD,"May 30, 2006",,,,Kurt Vonnegut,,,,,Caedmon,,816488,6925,,,,,,,,,,
0060898739,9780060898731,OL7283830M,"{'title': 'NLA Trove work', 'url': 'http://trove.nla.gov.au/work/10590568'}",https://openlibrary.org/books/OL7283830M/Cat's_Cradle_CD,,,,,,,,/books/OL7283830M,https://covers.openlibrary.org/b/id/13254087-S.jpg,https://covers.openlibrary.org/b/id/13254087-M.jpg,https://covers.openlibrary.org/b/id/13254087-L.jpg,,Cat's Cradle CD,"November 1, 2007",,,"End of the world; Fiction; American Fantasy fiction; Classic Literature; Humor (Fiction); Science Fiction; Large type books; American fiction (fictional works by one author); Fiction, humorous; Fiction, science fiction, general; Fiction, humorous, general; American fiction; Translations into Spanish; Spanish imprints; Spanish fiction; Fin du monde; Romans, nouvelles; Satire; Fictional works [publication type]; End of the world--fiction; Ps3572.o5 c3 2010; 813 v947c 2010; Labor supply; Physicists; Discoveries in science; Physiciens; Découvertes scientifiques; Dwarfs; Dwarfs (Persons)",Kurt Vonnegut; Nickolay Popov,,"{'text': 'Call me Jonah.', 'comment': ''}",,,Caedmon,,3374753,10402,,,,,,,,,,
0061153516,9780061153518,OL7288884M,,https://openlibrary.org/books/OL7288884M/Essential_Vonnegut_Interviews_CD_(Caedmon_Essentials),,,,,,,,/books/OL7288884M,https://covers.openlibrary.org/b/id/46815-S.jpg,https://covers.openlibrary.org/b/id/46815-M.jpg,https://covers.openlibrary.org/b/id/46815-L.jpg,,Essential Vonnegut Interviews CD (Caedmon Essentials),"November 28, 2006",,,,Kurt Vonnegut,,,,,Caedmon,,3654174,9596,,76961459,,,,,,,,
0062314343,9780062314345,OL32318422M,,https://openlibrary.org/books/OL32318422M/Breakfast_of_Champions,,,,,,,,/books/OL32318422M,https://covers.openlibrary.org/b/id/10942057-S.jpg,https://covers.openlibrary.org/b/id/10942057-M.jpg,https://covers.openlibrary.org/b/id/10942057-L.jpg,,Breakfast of Champions,"Oct 15, 2013",,,,Kurt Vonnegut,,,,or Goodbye Blue Monday,HarperAudio,,,,,,,,,,,,,
0062314351,9780062314352,OL32318424M,"{'title': 'NLA Trove work', 'url': 'http://trove.nla.gov.au/work/10590568'}",https://openlibrary.org/books/OL32318424M/Cat's_Cradle_Low_Price_CD,,,,,,,,/books/OL32318424M,https://covers.openlibrary.org/b/id/10942059-S.jpg,https://covers.openlibrary.org/b/id/10942059-M.jpg,https://covers.openlibrary.org/b/id/10942059-L.jpg,,Cat's Cradle Low Price CD,"Oct 15, 2013",,,"End of the world; Fiction; American Fantasy fiction; Classic Literature; Humor (Fiction); Science Fiction; Large type books; American fiction (fictional works by one author); Fiction, humorous; Fiction, science fiction, general; Fiction, humorous, general; American fiction; Translations into Spanish; Spanish imprints; Spanish fiction; Fin du monde; Romans, nouvelles; Satire; Fictional works [publication type]; End of the world--fiction; Ps3572.o5 c3 2010; 813 v947c 2010; Labor supply; Physicists; Discoveries in science; Physiciens; Découvertes scientifiques; Dwarfs; Dwarfs (Persons)",Kurt Vonnegut; Nickolay Popov,,"{'text': 'Call me Jonah.', 'comment': ''}",,,HarperAudio,,,,,,,,,,,,,
006231436X,9780062314369,OL27568259M,,https://openlibrary.org/books/OL27568259M/Welcome_to_the_Monkey_House_Low_Price_CD,,,,,,,,/books/OL27568259M,https://covers.openlibrary.org/b/id/9023314-S.jpg,https://covers.openlibrary.org/b/id/9023314-M.jpg,https://covers.openlibrary.org/b/id/9023314-L.jpg,,Welcome to the Monkey House Low Price CD,"Oct 15, 2013",,,,Kurt Vonnegut,,,,,HarperAudio,,,,,,,,006231436X,,,,,
0091424003,,OL16405103M,,https://openlibrary.org/books/OL16405103M/Sun_moon_star,64.0,64p. :,,Jesus Christ; Ivan Chermayeff,,,,/books/OL16405103M,,,,"Kurt Vonnegut, Ivan Chermayeff.",Sun moon star,1980,,London,"Jesus Christ in fiction; Juvenile fiction; Fiction; Nativity; Juvenile literature; Children's fiction; Jesus christ, fiction; Perception; Nativity of Jesus Christ",Kurt Vonnegut,,,,,Hutchinson,,815701,1189729,,11046607,,232.9; 760/21/.092/4,,,,,,
0099267543,,OL19105122M,,https://openlibrary.org/books/OL19105122M/Timequake,219.0,"xiv, 219p. ;",,,,,,/books/OL19105122M,https://covers.openlibrary.org/b/id/8728103-S.jpg,https://covers.openlibrary.org/b/id/8728103-M.jpg,https://covers.openlibrary.org/b/id/8728103-L.jpg,Kurt Vonnegut.,Timequake,1998,,London,"Nineteen nineties; Literature; Translations into Russian; Space and time; Fiction; Space and time in fiction; Time reversal; American Fantasy fiction; Authors; Millennium; Long Now Manual for Civilization; Time; American fiction (fictional works by one author); Fiction, science fiction, general; Large type books; Children's fiction; Science fiction",Kurt Vonnegut,PS3572.O5T56 1998,,"Originally published: London : Jonathan Cape, 1997.",,Vintage,,816487,9594,,,,813.54,,,,,,
