publishers,books_published
harpercollins,81
harpercollins publishers,79
orbit,52
voyager,32
harper & row,22
vintage,22
del rey,21
oxford university press,20
warner books,20
harper voyager,18
eos,18
bantam books,15
harpercollins publishers limited,14
ballantine books,13
franklin classics,12
random house publishing group,11
putnam,10
harpertrophy,9
doubleday,9
ace books,8
grand central publishing,7
vintage books,7
caedmon,7
harperprism,7
harperaudio,7
harper collins,6
"penguin books, limited",6
harpertorch,6
harpervoyager,6
perennial,6
"open road integrated media, inc.",6
penguin random house,6
pan books,6
hodder & stoughton,5
harper collins uk,5
tor books,5
harper perennial,5
perfectbound,5
imusti,5
t. doherty associates,4
sidgwick and jackson,4
harpercollins pub ltd,4
vintage classics,4
harper collins publishers,3
harperperennial,3
bantam,3
st. martin's press,3
"oxford university press, usa",3
harper,3
hodder & stoughton paperbacks,3
"orion publishing group, limited",3
gollancz,3
warner,3
mit press,3
fiction,3
sphere,3
forgotten books,3
anchor books,3
orb,2
harpercollins audio,2
ecco,2
new english library ltd,2
penguin books,2
penguin,2
clarendon press,2
new english library,2
del rey books,2
ballantine del rey,2
"holt, rinehart and winston",2
spectra,2
tom doherty associates,2
ballantine,2
tor,2
fourth estate,2
harpercollinschildrensbooks,2
harper collins - voyager,2
doubleday canada,2
"little, brown book group limited",2
mlbd,2
random house audio,2
turtleback,2
harpercollins children's books,2
harpercollins pub.,2
voyager / harpercollins,2
harper  collins,2
william morrow,2
avon,2
sidg. & j,2
harper collins/voyager,2
anchor,1
penguin adult hc/tr,1
pan books ltd.,1
windsor,1
pan,1
"ace books, inc.",1
dobson,1
dobson books,1
penguin books ltd,1
brand: turtleback,1
"berkley pub. co. , distributed by putnam",1
turtleback books,1
puffin books,1
schools,1
putnam adult,1
berkley pub. corp.,1
penguin random house llc.,1
distributed by putnam,1
berkley,1
berkley pub. co. : distributed by putnam,1
new york graphic society,1
ballatine books,1
random  house large print,1
palgrave macmillan,1
voyager / harper collins,1
g.p. putnam's sons,1
orbit science fiction,1
"little, brown books for young readers",1
pearson longman,1
longman,1
livros da voyager (reino unido) e spectra (eua),1
bedford/st. martin's,1
bedford books,1
collins,1
"sterling publishing co., inc.",1
western publishing company golden books,1
anchor canada,1
harper collins 0 pub,1
the mit press,1
bca ( book club associates ),1
brand: harper voyager,1
random house export editions,1
books on tape,1
vintage español,1
puffin,1
random house us,1
balzer + bray,1
brand: del rey,1
putnam pub group,1
berkley pub. corp. : distributed by putnam,1
del ray,1
hodderscape,1
signet,1
aspect/warner books,1
aspect,1
popular library,1
ace,1
sidgwick & jackson,1
sidgwick & jackson ltd,1
perennial classics,1
flamingo,1
"harper & row, publishers",1
macmillan pub co,1
harper collins usa,1
harper voyager harper collins publishers,1
harper collins paperbacks,1
harper. 1 paperback(s),1
grafton,1
harper collins.india,1
pearson english language teaching,1
harper children's audio,1
harperchildren's audio,1
corgi books (twld),1
harpercollins publisher,1
"harpercollins, publishers",1
"william morrow & co, inc.",1
harpercollins childrens books,1
titan graphic novels,1
random house,1
arrow books ltd,1
hutchinson,1
totem books,1
vintage books usa,1
"harperprism, a division of harpercollins publishers",1
g k hall & co,1
hodder & stoughton ltd,1
coronet australia,1
tor: tom doherty associates,1
penguin classics,1
william morrow paperbacks,1
"bujold, lois mcmaster",1
new englishlibrary,1
warner aspect,1
bluejay books,1
bantam 2002,1
prime books,1
arkham house,1
arkham house publishers,1
gregg press,1
random house uk ltd (a division of random house group),1
ereads.com,1
sfbc science fiction printing,1
viking,1
viking juvenile,1
victor gollancz,1
berkley publications,1
eyre methuen,1
brand: ballantine del rey,1
macmillan,1
pan books / macmillan,1
distributed by st. martin's press,1
orb books,1
firebird,1
paragon,1
